id,x_centroid,y_centroid
184,-81.579394,32.581614
185,-81.857261,33.738257
186,-81.199333,33.257361
187,-81.354521,32.859893
188,-84.418922,31.24337
189,-77.616678,35.16557
190,-81.389973,32.90756
191,-81.411678,33.281545
192,-82.408644,32.870662
193,-79.34625,34.250155
194,-81.346665,33.376982
195,-81.226092,33.135844
196,-79.555559,34.391771
197,-81.195162,33.221078
198,-81.212732,33.092111
199,-77.884894,35.216128
200,-84.393547,31.155821
201,-81.892731,33.115594
202,-75.201454,39.349275
203,-78.72007,33.839501
204,-81.604159,32.981272
205,-81.481313,32.733003
206,-79.484245,34.522693
207,-81.892631,33.11552
208,-84.239524,31.433526
209,-84.36656,31.498398
210,-81.427099,33.337223
211,-79.132973,34.803556
212,-79.685039,34.516572
213,-84.280999,31.125572
214,-75.962415,37.216833
215,-81.141963,33.413827
216,-79.421749,34.865507
217,-84.26091,31.197397
218,-80.356816,33.61431
219,-80.464987,33.78419
220,-80.16755,34.133709
221,-80.973214,33.282879
222,-79.496326,34.641776
223,-81.38019,33.326649
224,-84.568959,31.135194
225,-75.034839,39.776005
226,-84.409853,31.17044
227,-78.140781,35.289912
228,-81.577487,32.661168
229,-81.422545,33.120759
230,-81.310989,33.368748
231,-77.614366,36.235431
232,-81.540721,33.310895
233,-81.620432,32.814029
234,-84.441766,31.126907
235,-84.379709,31.19169
236,-84.269191,32.159974
237,-81.138379,33.204928
238,-81.398482,33.297776
239,-85.475292,31.166475
240,-81.420805,33.353474
241,-74.555133,39.413469
242,-81.376144,33.280282
243,-84.466062,31.311195
244,-81.183801,33.258914
245,-76.174817,35.504749
246,-74.783797,39.932173
247,-81.370888,33.155956
248,-77.425694,35.925508
249,-80.961933,33.188105
250,-79.863397,33.129873
251,-80.5488,33.547682
252,-83.678016,32.217118
253,-84.184289,31.932104
254,-77.763112,35.865781
255,-80.317441,34.136388
256,-74.725004,39.201067
257,-75.114461,39.795838
258,-81.837559,32.305718
259,-82.23667,32.877373
260,-84.315737,31.085758
261,-81.194858,33.406295
262,-81.500521,33.262204
263,-81.678692,33.336996
264,-80.90616,33.171785
265,-79.35086,34.128363
266,-78.539724,35.11037
267,-83.895579,32.25955
268,-80.961267,33.27469
269,-84.445478,31.105358
270,-81.295463,32.836227
271,-84.354496,32.044448
272,-79.479454,34.492535
273,-81.153213,33.448742
274,-81.645794,31.727968
275,-77.19209,36.21072
276,-81.250059,33.303598
277,-81.622136,32.941525
278,-81.290027,32.861613
279,-84.25653,31.174198
280,-79.210846,34.875564
281,-84.069787,31.284899
282,-81.246075,33.281256
283,-81.227527,33.357856
284,-79.324831,34.215719
285,-78.214044,35.764755
286,-84.36548,31.219853
287,-81.353967,32.847662
288,-79.479179,34.76988
289,-77.841167,35.344292
290,-78.464105,35.065921
291,-74.70288,39.845196
292,-79.428015,34.45998
293,-79.628242,34.489073
294,-84.643793,31.104551
295,-84.660822,31.20018
296,-81.399928,33.318127
297,-81.611137,32.611813
298,-84.322881,31.077483
299,-80.995337,33.293649
300,-81.597494,32.898507
301,-79.112647,34.950909
302,-77.308119,36.488654
303,-81.361803,32.908748
304,-80.954189,33.502019
305,-81.411213,33.3051
306,-81.000298,33.227925
307,-84.421023,31.168731
308,-79.22305,34.879102
309,-79.476483,34.185967
310,-79.342277,34.31726
311,-78.432169,35.591272
312,-84.179699,31.290141
313,-81.432075,33.234671
314,-83.599198,31.687986
315,-84.09178,31.239622
316,-84.879067,31.304192
