id,x_centroid(lon),y_centroid(lat),perimeter(m),area(m_sq),majority_landuse,min_elev(m),max_elev(m),range_elev(m),mean_elev(m),std_elev(m),xmin(lon),ymin(lat),xmax(lon),ymax(lat),bearing(deg),length_to_width_ratio,diagonal(m),lengths(m),widths(m),STATE_NAME,SUB_REGION
651,-81.276373,33.266857,2301.475339,324810.5429,557,68.684586,76.299744,7.615158,71.934254,1.297866,-81.524248,32.610098,-81.521199,32.612884,-7.674125937,1.084744054,421.3392939,309.7890642,285.5872434,South Carolina,South Atlantic
652,-78.707596,33.842574,2305.195853,332118.0368,257,9.261905,16.876871,7.614966,12.05228,1.83122,-80.578254,33.558623,-80.564269,33.572815,-9.447523603,1.217780404,2041.891351,1578.078399,1295.864504,South Carolina,South Atlantic
653,-77.900219,36.042654,2733.312,466362.2878,257,58.909946,66.520569,7.610622,60.944237,1.524456,-76.283017,35.438521,-76.262872,35.447483,-6.032867868,1.831388085,2079.287869,1825.031213,996.5289322,North Carolina,South Atlantic
654,-79.800027,33.298259,7221.906642,3251339.173,242,9.715931,17.316191,7.60026,11.876586,1.14007,-80.352512,33.664412,-80.341077,33.673121,-7.283497911,1.09281598,1434.445432,1058.279299,968.3966181,South Carolina,South Atlantic
655,-84.36358,31.358958,1146.928971,81976.07701,556,50.629982,58.227154,7.597172,52.969121,1.543002,-84.230519,31.855467,-84.226669,31.858857,-5.062079019,1.036658797,523.7434585,376.9508071,363.6209021,Georgia,South Atlantic
656,-84.107021,31.474208,2546.569747,396551.4042,556,54.234699,61.83136,7.596661,58.206761,1.95833,-84.38527,31.209044,-84.380864,31.212842,-4.824858355,1.007861604,594.9176006,422.3183366,419.0241349,Georgia,South Atlantic
657,-84.428577,31.122877,1897.558977,224739.2315,556,37.845104,45.43317,7.588066,41.870893,1.885869,-84.68165,30.945445,-84.673335,30.952695,-4.62793038,1.016627744,1130.780788,806.1632168,792.9777852,Georgia,South Atlantic
658,-81.60972,32.621018,1301.882253,105638.3878,254,55.517834,63.104359,7.586525,57.933981,1.403662,-81.296248,32.854152,-81.28368,32.86893,-10.10525012,1.399723198,2019.459955,1643.238626,1173.973988,Georgia,South Atlantic
659,-81.293446,32.836387,10057.38096,5885323.031,11,38.294552,45.880787,7.586235,42.749266,1.463105,-82.193991,32.929554,-82.180316,32.943394,-7.841276679,1.205788268,1999.248763,1538.937784,1276.291887,South Carolina,South Atlantic
660,-74.961133,39.797525,634.564,25116.43184,103,38.274437,45.853416,7.578979,42.67652,1.414614,-74.854288,39.717853,-74.848775,39.723136,-14.06759584,1.245813612,753.2700816,587.4428015,471.533459,New Jersey,Middle Atlantic
