dist_to_water(m),car_bay_x_centroid(lon),car_bay_y_centroid(lat),perim_bay,xmin_bay(lon),ymin_bay(lat),xmax_bay(lon),ymax_bay(lat),area_water_body(km_sq),FType,FCode,area_bay(m_sq),perim_water(m)
14.120121,-75.67937,39.149472,553.420033,-75.680264,39.148918,-75.678476,39.150026,0.001883,390,39004,18890.5555,0.002022
57.03458,-75.679981,39.148029,1063.856913,-75.681475,39.146789,-75.678487,39.149269,0.001883,390,39004,70664.07303,0.002022
502.035664,-75.662406,39.144305,1840.222191,-75.665321,39.142418,-75.659491,39.146192,0.051,466,46600,209833.5942,0.010029
240.890782,-75.632712,39.139912,1003.292371,-75.634191,39.138799,-75.631233,39.141026,0.082,466,46600,62894.69964,0.012187
268.921123,-75.628758,39.133067,1158.781906,-75.630302,39.131653,-75.627213,39.13448,0.058,466,46600,83373.42255,0.015061
62.382863,-75.62473,39.152978,781.230136,-75.625834,39.152073,-75.623626,39.153882,0.004,466,46600,38120.19532,0.003575
36.465837,-75.637661,39.151695,1871.173625,-75.640043,39.149324,-75.63528,39.154066,0.001,466,46600,215524.9004,0.001351
404.236906,-75.644693,39.151662,1926.764212,-75.647151,39.149224,-75.642235,39.154099,0.002,390,39004,228629.8007,0.001754
555.251374,-75.626149,39.133669,574.207048,-75.626989,39.133027,-75.625308,39.134311,0.058,466,46600,20605.21714,0.015061
238.554457,-75.647645,39.144554,1047.783742,-75.64916,39.143368,-75.64613,39.145741,0.007,466,46600,68615.12739,0.003246
278.138772,-75.629572,39.135679,627.46371,-75.630432,39.134932,-75.628713,39.136427,0.058,466,46600,24531.30198,0.015061
37.460609,-75.623307,39.151186,1507.31749,-75.624635,39.148817,-75.621979,39.153555,0.004,466,46600,119951.0468,0.003575
303.678521,-75.641124,39.151857,1040.537769,-75.642509,39.150586,-75.639739,39.153128,0.003,466,46600,67209.818,0.002146
129.756277,-75.638165,39.143821,945.827767,-75.639504,39.142727,-75.636827,39.144914,0.082,466,46600,55879.28684,0.012187
393.093745,-75.651148,39.147269,2588.042576,-75.655035,39.144451,-75.647261,39.150088,0.007,466,46600,418086.5075,0.003246
287.609082,-75.645548,39.132683,2401.952699,-75.649236,39.130131,-75.64186,39.135235,0.007,466,46600,359315.9791,0.003705
113.005855,-75.631093,39.133977,692.651997,-75.632107,39.133203,-75.63008,39.134752,0.058,466,46600,29982.76202,0.015061
515.848684,-75.632541,39.156519,812.707969,-75.634187,39.155966,-75.630895,39.157072,0.001,390,39004,34718.53668,0.001268
87.012787,-75.631799,39.135304,622.464259,-75.632649,39.134561,-75.630948,39.136047,0.058,466,46600,24136.24154,0.015061
