water_area(km_sq),FType,FCode,water_perim(m),bay_perim(m),bay_area(m_sq),x_centroid_bay(lon),y_centroid_bay(lat)
0.073586,466,46600,0.010496,2105.893154,276974.1626,-79.414739,34.501815
0.035075,466,46600,0.006811,4939.546621,848235.814,-79.33767,34.470796
0.074745,466,46600,0.010031,1787.498831,199307.2563,-79.344085,34.478508
0.001723,390,39004,0.002089,17199.43617,11843935.82,-79.485082,34.521896
0.335059,466,46600,0.045053,5393.795363,1293298.445,-79.572504,34.603404
0.000744,436,43613,0.001081,3165.141677,626131.2876,-79.329024,34.463419
0.020325,466,46600,0.005311,13536.0585,9176456.532,-79.683986,34.528483
0.024558,466,46600,0.00809,6222.370353,2416753.349,-79.714218,34.506771
0.007603,466,46600,0.004572,1547.281099,149454.4276,-79.606123,34.582636
0.008001,390,39004,0.005046,2199.974268,302423.0768,-79.611495,34.587384
0.030189,466,46600,0.010719,5191.959806,1644583.081,-79.702939,34.589216
0.00404,466,46600,0.00233,4994.755092,734844.5009,-79.538472,34.585912
0.004939,466,46600,0.002719,3502.775286,765898.5454,-79.51787,34.570364
0.00122,436,43613,0.001665,10842.931,5529534.884,-79.366391,34.522516
0.013139,466,46600,0.004192,7797.238062,2726337.02,-79.354313,34.506346
0.033179,466,46600,0.006768,2033.392267,258342.2909,-79.594731,34.58198
0.015654,466,46600,0.00758,3029.765343,573707.9127,-79.717474,34.583429
0.113015,466,46600,0.012519,3112.785878,497687.7458,-79.597174,34.624719
0.076572,466,46600,0.010275,5124.008339,978918.7511,-79.599977,34.591751
0.026573,466,46600,0.010892,5636.064526,1971900.665,-79.700267,34.662281
0.067873,466,46600,0.009712,3181.473564,450395.4319,-79.592151,34.566558
0.007695,466,46600,0.005808,3068.244258,588293.2676,-79.620882,34.598092
0.000552,390,39004,0.000962,17904.47829,6372846.788,-79.631381,34.649439
0.001254,390,39004,0.001512,5896.279069,1489749.339,-79.529835,34.613082
0.044652,466,46600,0.009916,2638.522424,433186.9584,-79.523879,34.594305
0.000892,390,39004,0.001259,8114.783431,2367079.825,-79.552091,34.625127
0.099082,466,46600,0.011789,2084.27978,271184.4945,-79.492233,34.656093
0.006221,390,39004,0.003313,2739.234436,468494.1143,-79.702318,34.241486
0.001342,390,39004,0.001755,7413.54255,3434362.469,-79.821468,34.088695
0.018264,390,39004,0.007251,5450.595176,1854931.277,-79.89668,34.135592
0.096065,466,46600,0.011481,2164.340954,282715.5522,-79.59059,34.635771
0.001385,390,39004,0.001826,1933.516404,233654.7454,-79.548313,34.64451
0.104802,466,46600,0.011967,2372.695568,351460.2349,-79.697844,34.706844
0.038431,466,46600,0.008677,7531.622162,1919424.374,-79.581295,34.651833
0.964908,466,46600,0.03953,6783.900904,2873599.043,-79.579612,34.623728
0.057982,466,46600,0.011665,1924.009191,230972.737,-79.540472,34.644566
0.001274,466,46600,0.00138,1868.702783,218209.4448,-79.561336,34.643913
0.044477,466,46600,0.007859,1488.668637,138457.7051,-79.56617,34.643674
0.141125,466,46600,0.013862,2464.57891,379226.3296,-79.496326,34.641776
0.002381,466,46600,0.00185,1779.955463,197601.6882,-79.584951,34.604031
0.004983,466,46600,0.005065,8423.665538,2924015.861,-79.594264,34.679407
0.002327,390,39004,0.002089,3082.722398,592290.3327,-79.57102,34.694642
0.001194,390,39004,0.00158,3553.379041,522127.3244,-79.60537,34.694026
0.123427,466,46600,0.013439,2526.890138,398894.1669,-79.696509,34.67238
0.025765,466,46600,0.006419,1367.238388,116555.4676,-79.606977,34.685405
0.03479,466,46600,0.008127,1662.379332,172674.5771,-79.700093,34.680178
0.022069,466,46600,0.005571,1596.17466,159216.6064,-79.551133,34.692643
0.000611,390,39004,0.000992,4070.457296,1034074.3,-79.627481,34.716726
0.031836,466,46600,0.006702,1485.343653,136811.3251,-79.638001,34.764953
0.036172,466,46600,0.007295,1251.061337,97754.30188,-79.632851,34.753908
0.033231,466,46600,0.006765,3779.655594,660256.2659,-79.648116,34.75973
0.016421,466,46600,0.005107,2258.622509,318077.6586,-79.641243,34.731405
0.006328,466,46600,0.004692,3847.991205,735265.7893,-79.587379,34.71883
0.002279,390,39004,0.002,5015.02781,1571905.039,-79.171551,34.108107
0.007571,466,46600,0.003696,4206.619941,1095161.815,-79.867666,34.21977
0.087921,466,46600,0.011567,2405.756648,361122.0275,-79.311478,34.12706
0.189798,466,46600,0.018689,5529.973242,1585870.085,-79.399338,34.248347
0.019,390,39004,0.009083,5980.901848,2199601.472,-79.637296,34.226437
0.000556,390,39004,0.00088,5120.777471,1635269.315,-79.449905,34.313169
0.076907,466,46600,0.011516,8294.506124,1583504.982,-79.396966,34.293702
0.000701,390,39004,0.001083,11137.27741,7196097.177,-79.365092,34.27443
0.001725,390,39004,0.001752,3827.668018,914079.6656,-79.224814,34.238027
0.001664,390,39004,0.001743,2171.881514,294808.2359,-79.901876,34.325864
0.002277,390,39004,0.002063,10641.14049,7071582.572,-79.772343,34.281442
0.002188,390,39004,0.00278,2683.174341,445159.0028,-79.753354,34.361848
0.004425,390,39004,0.004105,1515.944995,140977.2818,-80.365715,34.093978
0.002902,390,39004,0.004008,2301.87949,329951.3029,-80.301619,34.121758
0.057946,466,46600,0.009557,3993.870924,993175.0921,-80.513347,34.208303
0.000783,390,39004,0.001072,4980.01472,1004850.427,-80.317654,34.137684
0.03882,466,46600,0.008775,6521.068668,1368291.468,-80.287381,34.160993
0.128839,466,46600,0.014844,3854.365804,858224.7587,-80.146048,34.067664
0.006364,466,46600,0.003179,3170.414121,620896.9905,-80.018437,34.130134
0.034314,466,46600,0.006734,4116.126151,1052685.497,-80.16755,34.133709
0.361084,466,46600,0.021969,3628.203221,818608.0303,-80.146962,34.190291
0.001002,390,39004,0.001974,6077.60085,2291563.819,-80.016639,34.196907
0.00093,390,39004,0.001595,17542.08175,13804859.32,-80.160373,34.237218
0.00076,390,39004,0.00174,3545.89984,784885.6092,-80.075317,34.176489
0.003328,390,39004,0.003019,2107.613509,277565.9001,-80.303406,34.198173
0.00396,390,39004,0.0048,5367.49832,1799196.451,-80.163118,34.194648
0.079547,466,46600,0.014564,6255.163659,1550140.893,-80.112968,34.217537
0.038997,466,46600,0.007084,2888.072976,514457.6054,-80.077615,34.226216
0.004122,466,46600,0.00238,11440.92993,8172117.98,-80.118143,34.326035
0.000252,390,39004,0.000678,3165.595923,456486.5662,-80.079997,34.277671
0.000716,390,39004,0.001323,2092.684323,271536.1507,-80.081117,34.23274
0.002345,466,46600,0.002267,4048.81998,1017741.402,-80.19847,34.311587
0.017487,466,46600,0.00558,5552.830968,1096599.706,-80.131758,34.304375
0.002628,390,39004,0.002103,9093.2508,5099917.287,-76.271218,35.449497
0.002286,390,39004,0.002379,4236.9432,1112198.874,-77.713847,34.375058
0.14458,390,39004,0.018928,2557.7824,403493.8555,-77.563106,34.820181
1.485902,466,46600,0.054738,26409.4296,43487197.34,-76.57921,35.791456
0.000727,390,39004,0.001047,4526.7848,1272774.832,-75.882962,36.249188
0.027161,466,46600,0.008053,61833.14045,151459982.7,-76.471864,35.763151
0.028991,466,46600,0.029929,23680.00918,35020709.11,-76.3416,35.6468
0.000997,390,39004,0.001409,4295.232,1120824.987,-76.681312,36.149957
